"","subj","gender","mem_pre","vis_pre","gdp_pre","cal_pre","mem_post","vis_post","gdp_post","cal_post","avg_pre","avg_post","mem_acc","mem_conf","mem_rt","vis_acc","vis_conf","vis_rt","gdp_acc","gdp_conf","gdp_rt","cal_acc","cal_conf","cal_rt","avg_acc","avg_conf","avg_rt"
"1",1,"Feminin",70,60,60,70,75,60,65,75,65,68.75,0.88,4.53535353535354,2.44062201052596,0.715,3.27638190954774,1.35658487300001,0.702127659574468,3.81521739130435,2.38022448723396,0.716981132075472,4.81904761904762,2.68299560660383,0.753527197912485,4.11150011381331,2.21510674434094
"2",2,"Feminin",45,85,35,60,35,70,20,80,56.25,51.25,0.77,4.42,1.8484950395,0.735,5.135,0.992722457000025,0.659090909090909,4.05681818181818,2.67951920000003,0.696428571428571,5.6,2.59845674910716,0.71512987012987,4.80295454545455,2.0297983614018
"3",3,"Masculin",67,50,52,37,23,95,60,40,51.5,54.5,0.605,4.55,0.763870845819272,0.69,6.575,0.448555118000031,0.711538461538462,5.85576923076923,2.52727697573898,0.71875,5.8125,2.20447419277195,0.681322115384615,5.69831730769231,1.48604428308256
"4",4,"Feminin",60,90,60,70,65,60,40,50,70,53.75,0.72,3.96482412060302,1.71934799299998,0.725,3.905,0.831844325000015,0.675925925925926,4.82857142857143,1.66249091974537,0.717391304347826,5.43478260869565,1.5196667604549,0.709579307568438,4.53329453946752,1.43333749955007
"5",5,"Feminin",80,75,45,70,60,55,30,40,67.5,46.25,0.855,4.16,1.53147545997357,0.725,3.765,1.15576581250006,0.701149425287356,4.1264367816092,1.28391948116203,0.690265486725664,5.29203539823009,1.53679429240111,0.742853728003255,4.33586804495982,1.37698876150919
"6",6,"Masculin",85,60,85,75,80,70,65,80,76.25,73.75,0.825,4.6010101010101,2.93626163149999,0.71,3.77157360406091,1.51089602000001,0.7,4.33333333333333,3.38354459031835,0.690909090909091,5.28440366972477,3.43625468005521,0.731477272727273,4.49758017703228,2.81673923046839
"7",7,"Masculin",50,50,60,70,50,60,70,70,57.5,62.5,0.595,4.85333333333333,1.30897304203691,0.705,4.91457286432161,0.549958777999996,0.693069306930693,4.84158415841584,1.22014136534654,0.636363636363636,4.94949494949495,1.24050553939398,0.657358235823582,4.88974632639143,1.07989468119436
"8",8,"Masculin",65,75,50,80,80,75,40,80,67.5,68.75,0.875,5.415,1.50883035150003,0.73,4.145,1.12287279549999,0.683673469387755,4.31632653061224,2.0189483989796,0.725490196078431,5.23529411764706,3.05786950686272,0.753540916366547,4.77790516206483,1.92713026321058
"9",9,"Feminin",25,40,30,60,25,30,25,25,38.75,26.25,0.595,4.06,1.58851364131661,0.725,3.43718592964824,0.89569467950003,0.679245283018868,3.16190476190476,1.98937288346677,0.680851063829787,5.8936170212766,1.58878659117505,0.670024086712164,4.1381769282074,1.51559194886462
"10",10,"Feminin",60,60,65,65,55,60,64,70,62.5,62.25,0.805,3.955,1.06340169449999,0.725,3.375,0.688472073499975,0.711340206185567,3.68041237113402,1.79581844471651,0.737864077669903,4.94059405940594,1.78253798849373,0.744801070963867,3.98775160763499,1.33255755030255
"11",11,"Masculin",70,50,80,70,68,65,70,65,67.5,67,0.815,5.03535353535354,2.18081100476773,0.7,3.38,1.13180921849999,0.704081632653061,3.38144329896907,3.33224904233532,0.715686274509804,4.54455445544554,3.10482567489179,0.733691976790716,4.08533782244204,2.4374237351237
"12",12,"Feminin",85,80,70,90,30,80,60,75,81.25,61.25,0.755,3.93467336683417,2.0865194305,0.73,4.89949748743719,0.912984771000024,0.747474747474748,4.52577319587629,2.43922136363634,0.752475247524752,5.1980198019802,2.55908332871291,0.746237498749875,4.63949096303196,1.99945222346232
"13",13,"Feminin",70,60,80,70,50,40,40,60,70,47.5,0.83,4.41116751269035,2.66132871382183,0.735,4.23,1.39699046650001,0.717171717171717,3.63265306122449,2.74821845858582,0.712871287128713,4.93,2.88068624752468,0.748760751075108,4.30095514347871,2.42180597160809
"14",14,"Feminin",78,86,65,74,91,84,39,46,75.75,65,0.885,4.85,1.3954676475,0.725,4.905,0.766887752000009,0.699029126213592,4.87378640776699,2.65720109320395,0.701030927835051,5.67010309278351,2.28052676597938,0.752515013512161,5.07472237513762,1.77502081467084
