"","subject","modality","accuracy","mean(confidence, na.rm = T)"
"1",1,"Calories",0,4.24137931034483
"2",1,"Calories",1,5.03947368421053
"3",1,"GDP",0,2.44444444444444
"4",1,"GDP",1,4.38461538461539
"5",1,"memory",0,1.95833333333333
"6",1,"memory",1,4.89080459770115
"7",1,"vision",0,2.7719298245614
"8",1,"vision",1,3.47887323943662
"9",2,"Calories",0,5.1875
"10",2,"Calories",1,5.76923076923077
"11",2,"GDP",0,3.2
"12",2,"GDP",1,4.5
"13",2,"memory",0,3.43478260869565
"14",2,"memory",1,4.71428571428571
"15",2,"vision",0,4.30188679245283
"16",2,"vision",1,5.43537414965986
"17",3,"Calories",0,5.37037037037037
"18",3,"Calories",1,5.98550724637681
"19",3,"GDP",0,5.26666666666667
"20",3,"GDP",1,6.09459459459459
"21",3,"memory",0,3.78481012658228
"22",3,"memory",1,5.0495867768595
"23",3,"vision",0,6.29032258064516
"24",3,"vision",1,6.70289855072464
"25",4,"Calories",0,4.84615384615385
"26",4,"Calories",1,5.66666666666667
"27",4,"GDP",0,4.22857142857143
"28",4,"GDP",1,5.12857142857143
"29",4,"memory",0,3.03636363636364
"30",4,"memory",1,4.31944444444444
"31",4,"vision",0,3.34545454545455
"32",4,"vision",1,4.11724137931034
"33",5,"Calories",0,4.88571428571429
"34",5,"Calories",1,5.47435897435897
"35",5,"GDP",0,2.23076923076923
"36",5,"GDP",1,4.9344262295082
"37",5,"memory",0,1.6551724137931
"38",5,"memory",1,4.58479532163743
"39",5,"vision",0,3.32727272727273
"40",5,"vision",1,3.93103448275862
"41",6,"Calories",0,4.47058823529412
"42",6,"Calories",1,5.65333333333333
"43",6,"GDP",0,2.22222222222222
"44",6,"GDP",1,5.23809523809524
"45",6,"memory",0,1.32352941176471
"46",6,"memory",1,5.28048780487805
"47",6,"vision",0,3.19642857142857
"48",6,"vision",1,4
"49",7,"Calories",0,4.77777777777778
"50",7,"Calories",1,5.04761904761905
"51",7,"GDP",0,5.2258064516129
"52",7,"GDP",1,4.67142857142857
"53",7,"memory",0,4.70769230769231
"54",7,"memory",1,4.96470588235294
"55",7,"vision",0,4.91525423728814
"56",7,"vision",1,4.91428571428571
"57",8,"Calories",0,4.5
"58",8,"Calories",1,5.51351351351351
"59",8,"GDP",0,3.51612903225806
"60",8,"GDP",1,4.6865671641791
"61",8,"memory",0,2.88
"62",8,"memory",1,5.77714285714286
"63",8,"vision",0,3.61111111111111
"64",8,"vision",1,4.34246575342466
"65",9,"Calories",0,5.36666666666667
"66",9,"Calories",1,6.140625
"67",9,"GDP",0,2.57575757575758
"68",9,"GDP",1,3.43055555555556
"69",9,"memory",0,3.60493827160494
"70",9,"memory",1,4.36974789915966
"71",9,"vision",0,3.09090909090909
"72",9,"vision",1,3.56944444444444
"73",10,"Calories",0,3.76923076923077
"74",10,"Calories",1,5.34666666666667
"75",10,"GDP",0,2.71428571428571
"76",10,"GDP",1,4.07246376811594
"77",10,"memory",0,1.35897435897436
"78",10,"memory",1,4.58385093167702
"79",10,"vision",0,2.49090909090909
"80",10,"vision",1,3.71034482758621
"81",11,"Calories",0,4.96551724137931
"82",11,"Calories",1,4.375
"83",11,"GDP",0,2.6551724137931
"84",11,"GDP",1,3.69117647058824
"85",11,"memory",0,3.21621621621622
"86",11,"memory",1,5.45341614906832
"87",11,"vision",0,2.73333333333333
"88",11,"vision",1,3.65714285714286
"89",12,"Calories",0,4.4
"90",12,"Calories",1,5.46052631578947
"91",12,"GDP",0,2.91666666666667
"92",12,"GDP",1,5.05479452054795
"93",12,"memory",0,2.22448979591837
"94",12,"memory",1,4.49333333333333
"95",12,"vision",0,4.24074074074074
"96",12,"vision",1,5.1448275862069
"97",13,"Calories",0,4.25
"98",13,"Calories",1,5.19444444444444
"99",13,"GDP",0,2.77777777777778
